2024-05-31 22:16:18,149 INFO    MainThread:517741 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_setup.py:_flush():76] Configure stats pid to 517741
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_setup.py:_flush():76] Loading settings from /home/dan/.config/wandb/settings
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_setup.py:_flush():76] Loading settings from /home/dan/mini_temporal/wandb/settings
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'training/fine_tune_gemma_it.py', 'program_abspath': '/home/dan/mini_temporal/training/fine_tune_gemma_it.py', 'program': '/home/dan/mini_temporal/training/fine_tune_gemma_it.py'}
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_init.py:_log_setup():527] Logging user logs to /home/dan/mini_temporal/wandb/run-20240531_221618-q1y2lupd/logs/debug.log
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_init.py:_log_setup():528] Logging internal logs to /home/dan/mini_temporal/wandb/run-20240531_221618-q1y2lupd/logs/debug-internal.log
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_init.py:init():567] calling init triggers
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'dataset': 'AQA', 'model_context': 'wrong_date_context', 'batch_size': 8, 'base_model': 'gemma-1.1-2b-it', 'lr': 2e-05, 'epochs': 1}
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_init.py:init():617] starting backend
2024-05-31 22:16:18,150 INFO    MainThread:517741 [wandb_init.py:init():621] setting up manager
2024-05-31 22:16:18,151 INFO    MainThread:517741 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-31 22:16:18,152 INFO    MainThread:517741 [wandb_init.py:init():629] backend started and connected
2024-05-31 22:16:18,154 INFO    MainThread:517741 [wandb_init.py:init():721] updated telemetry
2024-05-31 22:16:18,156 INFO    MainThread:517741 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-05-31 22:16:18,430 INFO    MainThread:517741 [wandb_run.py:_on_init():2344] communicating current version
2024-05-31 22:16:18,500 INFO    MainThread:517741 [wandb_run.py:_on_init():2353] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-31 22:16:18,500 INFO    MainThread:517741 [wandb_init.py:init():805] starting run threads in backend
2024-05-31 22:16:20,839 INFO    MainThread:517741 [wandb_run.py:_console_start():2323] atexit reg
2024-05-31 22:16:20,839 INFO    MainThread:517741 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-05-31 22:16:20,839 INFO    MainThread:517741 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-05-31 22:16:20,839 INFO    MainThread:517741 [wandb_run.py:_redirect():2268] Redirects installed.
2024-05-31 22:16:20,840 INFO    MainThread:517741 [wandb_init.py:init():848] run started, returning control to user process
