2024-06-03 16:35:38,118 INFO    StreamThr :848359 [internal.py:wandb_internal():86] W&B internal server running at pid: 848359, started at: 2024-06-03 16:35:38.117728
2024-06-03 16:35:38,119 DEBUG   HandlerThread:848359 [handler.py:handle_request():146] handle_request: status
2024-06-03 16:35:38,122 INFO    WriterThread:848359 [datastore.py:open_for_write():87] open: /home/dan/mini_temporal/wandb/run-20240603_163538-jnmtf220/run-jnmtf220.wandb
2024-06-03 16:35:38,122 DEBUG   SenderThread:848359 [sender.py:send():379] send: header
2024-06-03 16:35:38,124 DEBUG   SenderThread:848359 [sender.py:send():379] send: run
2024-06-03 16:35:38,338 INFO    SenderThread:848359 [dir_watcher.py:__init__():211] watching files in: /home/dan/mini_temporal/wandb/run-20240603_163538-jnmtf220/files
2024-06-03 16:35:38,339 INFO    SenderThread:848359 [sender.py:_start_run_threads():1124] run started: jnmtf220 with start time 1717450538.117492
2024-06-03 16:35:38,342 DEBUG   HandlerThread:848359 [handler.py:handle_request():146] handle_request: check_version
2024-06-03 16:35:38,343 DEBUG   SenderThread:848359 [sender.py:send_request():406] send_request: check_version
2024-06-03 16:35:38,413 DEBUG   HandlerThread:848359 [handler.py:handle_request():146] handle_request: run_start
2024-06-03 16:35:38,418 DEBUG   HandlerThread:848359 [system_info.py:__init__():26] System info init
2024-06-03 16:35:38,418 DEBUG   HandlerThread:848359 [system_info.py:__init__():41] System info init done
2024-06-03 16:35:38,418 INFO    HandlerThread:848359 [system_monitor.py:start():194] Starting system monitor
2024-06-03 16:35:38,419 INFO    SystemMonitor:848359 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-03 16:35:38,419 INFO    HandlerThread:848359 [system_monitor.py:probe():214] Collecting system info
2024-06-03 16:35:38,419 INFO    SystemMonitor:848359 [interfaces.py:start():190] Started cpu monitoring
2024-06-03 16:35:38,419 INFO    SystemMonitor:848359 [interfaces.py:start():190] Started disk monitoring
2024-06-03 16:35:38,420 INFO    SystemMonitor:848359 [interfaces.py:start():190] Started gpu monitoring
2024-06-03 16:35:38,420 INFO    SystemMonitor:848359 [interfaces.py:start():190] Started memory monitoring
2024-06-03 16:35:38,420 INFO    SystemMonitor:848359 [interfaces.py:start():190] Started network monitoring
2024-06-03 16:35:38,457 DEBUG   HandlerThread:848359 [system_info.py:probe():150] Probing system
2024-06-03 16:35:38,458 DEBUG   HandlerThread:848359 [system_info.py:_probe_git():135] Probing git
2024-06-03 16:35:38,463 DEBUG   HandlerThread:848359 [system_info.py:_probe_git():143] Probing git done
2024-06-03 16:35:38,463 DEBUG   HandlerThread:848359 [system_info.py:probe():198] Probing system done
